NU_ANO_CENSO,CO_IES,TP_CATEGORIA_ADMINISTRATIVA,TP_ORGANIZACAO_ACADEMICA,CO_DOCENTE_IES,ID_DOCENTE,TP_SITUACAO,TP_ESCOLARIDADE,TP_REGIME_TRABALHO,TP_SEXO,NU_ANO_NASCIMENTO,NU_MES_NASCIMENTO,NU_DIA_NASCIMENTO,NU_IDADE,TP_COR_RACA,CO_PAIS_ORIGEM,TP_NACIONALIDADE,CO_UF_NASCIMENTO,CO_MUNICIPIO_NASCIMENTO,IN_DEFICIENCIA,IN_DEFICIENCIA_CEGUEIRA,IN_DEFICIENCIA_BAIXA_VISAO,IN_DEFICIENCIA_SURDEZ,IN_DEFICIENCIA_AUDITIVA,IN_DEFICIENCIA_FISICA,IN_DEFICIENCIA_SURDOCEGUEIRA,IN_DEFICIENCIA_MULTIPLA,IN_DEFICIENCIA_INTELECTUAL,IN_ATUACAO_EAD,IN_ATUACAO_EXTENSAO,IN_ATUACAO_GESTAO,IN_ATUACAO_GRAD_PRESENCIAL,IN_ATUACAO_POS_EAD,IN_ATUACAO_POS_PRESENCIAL,IN_ATUACAO_SEQUENCIAL,IN_ATUACAO_PESQUISA,IN_BOLSA_PESQUISA,IN_SUBSTITUTO,IN_EXERCICIO_DATA_REFERENCIA,IN_VISITANTE,TP_VISITANTE_IFES_VINCULO
2018,693,1,1,560668,55322DA67F32C24EA8EE214F1AE61A23,1,4,2,2,1954,4,5,64,1,76,1,33,3304557,0,,,,,,,,,0,0,0,1,0,0,0,0,,0,1,0,
2018,693,1,1,560663,F6D8EE738143EE7C1FA65B897A11EEF3,1,5,1,1,1968,2,17,50,0,76,1,33,3304557,0,,,,,,,,,0,1,0,1,0,1,0,1,1,0,1,0,
2018,693,1,1,560661,51893B23A813E61AB22E38D08D7B02E8,1,5,1,2,1953,4,15,65,0,76,1,33,3304557,0,,,,,,,,,0,0,0,1,0,0,0,1,0,0,1,0,
2018,693,1,1,560658,714332125371751CB5AFF0E84D679B56,1,5,1,2,1964,4,3,54,0,76,1,33,3304557,0,,,,,,,,,0,1,1,1,0,1,0,1,1,0,1,0,
2018,693,1,1,560651,1716AAD551DDE6D1BD23503030270B82,1,5,2,2,1968,6,7,50,0,76,1,33,3304557,0,,,,,,,,,0,1,1,1,0,0,0,0,,0,1,0,
2018,693,1,1,560656,5223D530736B88C6298A6EEFD39CB864,1,4,1,2,1973,12,14,45,1,76,1,33,3304557,0,,,,,,,,,0,1,1,1,0,0,0,0,,0,1,0,
2018,693,1,1,560655,F2DA082CD9593AB0ACA868B98AE0A81B,1,5,2,2,1972,8,26,46,0,76,1,33,3304557,0,,,,,,,,,0,0,0,1,0,0,0,0,,0,1,0,
2018,693,1,1,560654,3D9247CB019857A8240BA9322A6CDD66,1,5,1,2,1969,1,27,49,0,76,1,33,3304557,0,,,,,,,,,0,0,1,1,0,1,0,1,0,0,1,0,
2018,693,1,1,560653,B4D4F1E3AC273060BB5F5B2D0E75EF3D,1,5,1,1,1951,6,24,67,0,76,1,33,3304557,0,,,,,,,,,0,0,1,1,0,1,0,1,0,0,1,0,
2018,693,1,1,560649,E68AB9C6F4AF684A193F167FBA230437,1,5,1,2,1960,8,31,58,0,32,3,,,0,,,,,,,,,1,0,1,1,0,1,0,1,1,0,1,0,
